title,content
北广坤南大强,"对电视剧《[链接:都挺好]》和《[链接:乡村爱情]》中两位形象非常奇葩，引发观众强烈打人欲望的父亲[链接:谢广坤]和[链接:苏大强]的联合吐槽。因乡村爱情的故事发生在东北，都挺好苏州，才有了南北的说法。
谢广坤的亮点是爱面子小市民，可以为了达到目的不停地使坏捣乱，不计一切代价，且做派十分无赖。
苏大强主要擅长人怂心窄，前期缩头乌龟，后期作天作地，从家中大事到生活琐碎，都贯彻一个自私加吃拿卡要的行动宗旨，坑儿女无极限。
综上，网友们纷纷表示想针对二位作妖界两大王者展开一次pk大赛。该词因此而生。
[划掉:就问你谢广坤苏大强抖掉水里你救谁]
[划掉:不，我选择视而不见]"
砖家,网络用语，专家的衍生词，指夸夸其谈，没有真才实学，只会瞎说，说话不负责任甚至散播谣言的假专家。
逻辑鬼才,"用于评论逻辑非常[链接:清奇]的人。
指一些人在辩论时，得出的结论非常奇怪，但逻辑上却神奇地遵守了一定的规则，导致对方一时间无法反驳，甚至会产生一种“仔细想想他说的也有道理”的感觉。
所以使用时多含有无奈或者[链接:佛了]的感情倾向。"
飞来横霍,"衍生自中国古代成语“飞来横祸”。
指中国游泳健将孙杨在光州游泳世锦赛200米自由泳中夺冠后，澳大利亚运动员霍顿拒绝与其合影，并且态度蛮横无理，极其没有礼貌。网友遂将其称之为“飞来横霍”。
"
开口脆,声音一出，就艳惊四座，惊为天人。泛指技艺高超，一亮身手就知道是高人。
基番,指内容偏向男男暧昧的番剧，通常以双男主甚至多男主为故事主线……‘腐女’往往是‘基番’的主要受众群。
推推拍,"当下一种非常火的拍照方法。即两个人找好位置后，互相推对方，左右摇摆，摄影师就可以拍下两人既自然又动感的照片。
现在抖音以及微博等平台上的时尚红人都在推广这种拍照方法。"
只要你乖给你买条gai,"一首出名于抖音的歌曲名称。[链接:gai]即[链接:重庆话]中的“街”字发音。
全曲歌词都在比较夸张地表达对伴侣的宠爱……
常见歌词部分如下：
只要你乖给你买条gai 爱不爱你不用你去猜 购物车你要我给你拍 衣服热火往我包里揣"
gay里gay气,形容男生间的亲密行为举止，也指[加粗:气质比较阴柔的男性]，有时也可以用来指长得可爱的男孩纸。与[链接:橘里橘气]相对。
玛丽学园,"一部（官方自称的）[链接:沙雕]网剧，另辟蹊径地以“斗妆”为主题，讲述以美妆比拼为核心的……校园生活。
因为剧中自带”用美妆实力解决一切问题“的神奇设定，创造了许多非常搞笑的沙雕桥段，比如暗器化妆刷、[链接:柔晰暮色妆]等。但该剧属于“[链接:一旦接受了这种设定]，看起来居然还蛮带感的”系列，许多观众表示“我现在已经能用美妆世界观来看待一切了，还真是神奇啊”。

其实这类强行扭转世界观的作品还有不少，比如游戏《[链接:奇迹暖暖]》用换装解决全世界的一切纷争，再比如著名的《[链接:紫禁之巅]》……[划掉,链接:你们不要再打了啦][划掉:！]"
你懂的,用来替代所有不适合直接说的内容的占位符。
话题废,"寡言，不善交际，话题废物。
话题废的日常：好、很好、没事、嗯嗯、哦、哈哈……"
佛系运营,"像[链接:小鸡词典]运营团队这种不是很在意新增用户量，不是很在意[链接:日活]，甚至不是很在意广告效果的运营方式。。。



[加粗:但是小鸡是很关心每一个用户的使用体验的！有][加粗,链接:大胆的想法][加粗:，或者][加粗:很成熟的小建议][加粗:，或者][加粗:发现了该死的][链接:BUG][加粗:。一定要告诉小鸡哦！]"
云母飞妈,"是游戏《[链接:少女前线]》的玩家对官方不满时使用的辱骂用词。也常被缩写成[链接:ymfm]。
少女前线的制作公司[链接:散爆网络]曾是一个同人游戏制作组[链接:云母组]，玩家常用云母来称呼开发方。
因为少女前线在正式公测之前运营槽点极多，散爆网络曾和原合作方[链接:阵面网络]产生过许多纠纷，多次波及玩家体验与利益，玩家对官方的花式[链接:骚操作]（比如说三测账号失效、注册无法获取验证码、兑换码无法使用之类）怒不可遏时通常以该句表示极度不满，因此这句辱骂广为流传。"
北京第三交通委提醒您,"电影《[链接:流浪地球]》的[链接:洗脑]金句开头。
由于电影内这句话有数次[链接:洗脑循环]，且语音十分[链接:魔性]，每一个看完电影的人，看到这句话，脑中都会自动补完由播音女腔缓缓说出的：
[链接:道路千万条，安全第一条。行车不规范，亲人两行泪。]"
葛优躺,无力颓废的状态。源于《我爱我家》中葛优扮演的二混子纪春生在沙发上无力，颓废的躺姿。
请允悲,"[加粗:请允]许我做一个[加粗:悲]伤的表情。
用于表达对题主悲惨遭遇的感同身受。然而实际感受可能是幸灾乐祸忍俊不禁。"
碳烤兔爪,"即明星肖战被晒黑之后的双手。
肖战的门牙又白又整齐甚至还有一点点大，所以粉丝们经常说肖战是兔子哥哥；近几年接了很多古装戏，古装戏大多都是外景，而且长袖长褂，只有手露在外面，加上其平时可能对手部防晒的忽视（傻孩子），使肖战的手腕以下部位和身体其他部位的肤色[加粗:完全脱节]，粉丝笑称是“[加粗:碳烤兔爪]”。"
港风,"在[链接:美妆]及穿搭语境下，指上个世纪80和90年代香港女明星的外形风格。其特征在衣着上偏向欧美风，常见的单品如宽松衬衫、高腰或阔腿裤、吊带裙等。在妆容上强调个人面部特征的展现，多使用大地色系的彩妆和正红或深红色的唇妆产品。在发型上较注重蓬松感，多为卷发造型，发色则是以黑色为绝对主流。
由于港风的主要参考依据都是女演员的剧作和旧照，事实上目前流行的港风妆容及穿搭中最重要的内容是[加粗:后期处理]，也就是照片滤镜[划掉:P图]。大幅度的柔光和胶片风格的滤镜，加上四角阴影和均匀分布的噪点，在主观上就能给人一种港风老照片的第一印象。"
秒杀宇内究极华丽第一极品路人帅哥,2010年2月，蜂鸟摄影社区一位用户试相机时拍摄的一组照片，随后以《秒杀宇内究极华丽第一极品路人帅哥！帅到刺瞎你的狗眼！求亲们人肉详细资料》为题转载于天涯论坛。相片中的乞丐看起来造型独特，衣着另类，表情冷峻，因而获得“犀利哥”之名，收到网民的追捧，迅速成为网络热点人物。
渣男天团,"品质很差的男性团体，用来形容聚在一起的道德有问题的男性。
出自电视剧[链接:《都挺好》]，剧中苏家三个男人：[加粗:苏大强、苏明哲、苏明成]在很多方面的个人品质都存在问题，例如苏大强自私、苏明哲打肿脸充胖子，不管老婆和孩子的生活水平、苏明成暴躁和啃老等，于是观众们将这三个角色称为渣男天团，用来形容他们的个人道德品质都很有问题。"
种草,"指用各种方式向他人强烈地推荐某样东西，同义于[链接:安利]。
或者指对某样东西疯狂喜爱，并产生强烈的购买欲望。与[链接:拔草]相对。"
新乡时报,"美国著名媒体《[链接:纽约时报]》的中国版接地气译名。英文原名The New York Times。
源于纽约（New York）一词拆开直译则为“新约克”，曾经被国内网友恶搞地土味翻译为“新乡”，因为效果喜感，成为知名度颇高的搞笑别称。其他名称内有纽约二字的词汇都常被网友故意说成“新乡xx”。
[划掉:另有一河南省内城市真的名叫新乡市……]"
母亲时间,"指母亲的专属时间。母亲时间的制定标准不同于传统的时区划分，它完全取决于母亲的心情，你妈说现在几点，现在就是几点。

微博@语文指挥中心"
看见薯光,一旦被肥宅看见，薯片立马就会被吃光。
比心,用手比划出心的形状，表示爱你～
你艾希我奶妈,"[链接:英雄联盟]谐音黄段子。艾希=爱吸，妈=吗。
艾希是LOL中全名为寒冰射手艾希的可选英雄。
来自[划掉:黄段子大师]姿态与Rita在直播中双排时的对话。Rita在选人阶段征求姿态的意见：“你艾希我奶妈？”姿态愣了一下，说：“……爱。”
该黄段子因此走红，成为LOL玩家中的特殊污梗。"
一家人最重要的是整整齐齐,"原意指家庭里的所有成员要聚在一起，齐心协力地做事，互相爱护关心。目前多作调侃使用，例如社会事件中一家人的行为举止都缺乏公德（比如父母纵容孩子随地大小便），就会有网友讽刺地评论该句。
该句原本是香港TVB剧中的常见台词，原台词为粤语“一家人最要紧是齐齐整整”，在传播过程中逐渐改为较贴近普通话的句式。和各类TVB名梗类似，都已脱离原意。
现在经常被用来形容以家庭为单位出现的人或事物遭遇了相同的（坏）下场，例如在看到文艺作品中家族灭门的情节、美食节目中出现[链接:亲子丼]时，都常以该句调侃。"
旅行扇贝,来自獐子岛的一种贝类动物，会间歇性外出旅行，并给投资人寄回停牌/跌停明信片。
恶魔妈妈买面膜,"形容沉思……
是“emmmmm”，“ummmmm”，“呃mmmm”的高阶用法……"
支付鸨,进军社交心切的[链接:支付宝]的戏称。源于2016年11月支付宝短暂上线的[链接:生活圈]功能。其中针对女大学生的[链接:校园日记]，针对职场女性的[链接:白领日记]等“圈子”，都对评论，发帖，等有芝麻信用分限制。而这些圈子中一度出现大量大尺度照片。被王思聪配图[加粗:支付鸨]，并调侃为[链接:O2O]卖淫。
多谢舍友不杀之恩,因多起杀害舍友的案件而出现的梗，是舍友之间表达好感[划掉:也可能是嘲讽]的一种方式。
要你寡,"“要你管啊”的谐音，出自巴啦啦小魔仙中，小兰对游乐王子说：“你还在这里干嘛”游乐王子用不标准的普通话回答道：“要你管啊”，“管”字的读音和“啊”字的读音连接到了一起，听起来像“寡”被网友调侃为“要你寡”。
后来有网友剪辑了游乐王子一系列独特发音，配以[链接:空耳]字幕，如“与你无关”的字幕是[链接:雨女无瓜]等，大家模仿这种魔性的发音，制作了一系列表情包。
而游乐王子来自于剧中的魔仙堡，视频评论和弹幕中戏称是魔仙堡口音或者魔仙堡方言。"
恐同,"指[加粗:恐惧和同性恋打交道，担心和同性恋群体沾上关系的情感]。
社会上一些人难以接受同性恋群体，且对他们有抵触、排斥甚至厌恶的情感。这种情感大多发生在异性恋群体中，但同性恋群体中也会有些人产生这种情感，原因是难以接受自己的同性取向。
这种情感包含了一些个人对于同性恋群体的歧视，其实是当今社会对于同性恋群体包容度较低产生的结果。社会上也有一些影视作品涉及到这种情感，比如：奥地利短片《恐同》。"
傻白甜,一般形容女主没有心机单纯善良，即“傻”，而且又长的好看，即用“白甜”形容漂亮。比如唐嫣的好多剧都是傻白甜的形象，算是中性词吧！
马克,"在中文网络社区中作为动词使用时，是英语“mark”（译为标记）的中文[链接:空耳]写法，指“这个内容我要收藏/保存下来，做个记号”。一般出现在文章的转发或评论中。
这种方式可以让用户在自己的发出消息中找到被其评论或转发的内容，是变相的保存和整理。[划掉:懒人专用整理方式]，有时也会被缩写为[链接:马]、[链接:码]或者🐴。但这类评论经常因为毫无建设性而被发帖者和社区管理员反感。
由于现在网络上的实用文章和[链接:干货]极多，很多[链接:仓鼠症]（囤积癖）网友们的日常就是疯狂马克各类文章，然而马了之后却不会再看，因此衍生出了一类[链接:码了等于做了]、[链接:码了等于会了]的嘲讽[划掉:自嘲]。"
NTR,[链接:寝取]日语[加粗:寝取られ]（Netorare）的罗马音缩写，意思是戴绿帽。[划掉:当然是选择原谅她啊]。
拆奶罩,中国著名[划掉:内衣]游戏展会[链接:ChinaJoy]的[划掉:正确翻译][链接:空耳]。
扔vans挑战,"指近期流行的视频内容：将[链接:vans]品牌的鞋子抛向半空，它一定会鞋底着地，鞋面向上。
这类视频来自[划掉:不存在的网站][链接:推特]上的Ibelievthehype，她在视频中将vans鞋从空中多次抛下，每一次都是鞋底着地，并写简介：你知道无论怎么扔vans它都鞋底朝下吗？
这使全球网友纷纷发布丢vans的视频，许多人确实得到了100%鞋底朝下的结果，大呼神奇。但也有少数人发现抛出的vans是鞋底朝上或侧躺的，证明这个结论并不严谨。大部分vans落地时鞋底朝下，可能是因为鞋底比较厚重。
[加粗:所以该方法并不能用来鉴定vans鞋的真假]"
不爱你的人洗澡洗一夜,"一个热门网络段子的简称，该句全称为“不爱你的人 洗澡洗一夜 吃饭吃一天 下午三点醒 八点说晚安”。意为“不爱你的人不想花时间跟你聊天，随便找个理由就不回复你的消息了”。
该句经常在抖音作为视频中的台词出现。由于形象描写了[链接:舔狗]的哀怨心情和被追求者的高频常见推脱用语，非常[链接:扎心]，引起大量共鸣，成为流行语。"
教科书式,"现指规范、标准、无懈可击，完美到可以写进[链接:教科书]里作为示范的行为或动作。
来源于上海网友上传的[链接:民警]执法视频：[链接:警察]查处违章停车时，要求司机出示[链接:驾驶证]和[链接:行驶本]。[链接:司机]并不配合，态度十分蛮横。警察重复三次“把驾驶证拿出来”没有得到司机的正面回应，开始警告“无关人员请让开，警官将使用警械”，仍未得到配合。警察随即使用[链接:催泪瓦斯]，抽出警棍，并声明“放弃抵抗，否则使用武力”才控制了闹事司机，将其带上警车。
该警察的行为受到大批网友赞誉，被称为教科书式的执法。
现在该词常形容各类经典且标准的行为，无论行为本身是好是坏都可使用。"
砸瓦鲁多,"是日式英语[链接:the world]（世界）读音的中文空耳。
以下有《JOJO的奇妙冒险》系列相关剧透。



出自[链接:JOJO的奇妙冒险]系列中的反派[链接:DIO]使用其替身”世界“时的喊声。第三部末尾之后，第三代主角[链接:空条承太郎]也觉醒了”世界“的能力。因此在jojo系列中会喊砸瓦鲁多的人，不是DIO爷就是承太郎。
因为”世界“的能力是将时间停止，因此许多玩梗者会在”时间暂停“的相关元素出现时以这句”砸瓦鲁多“调侃，并不限于jojo系列。比如说按了视频暂停键，或电竞中的比赛暂停时。"
安利,"自己认为好的东西，强烈推荐给别人。
例如:安利一下
         请干了这碗安利"
圾无力,是指垃圾分类要求推广之后，[加粗:当代年轻人面对垃圾分类的要求而产生的无力感及一系列无奈行为]。比如不敢吃小龙虾、不敢喝奶茶等。
绝对领域,超短裙以下，过膝袜以上露出的大腿。
毁三观,颠覆认知，发生和自己想象中不一样的事都可以称为毁三观。形容事件惊奇，出乎意料。
我的白颜料你随便用,"白颜料一旦弄脏很难弄干净，弄脏的部分只能挖掉以避免它影响剩下的部分，而且白颜料价格贵，用的也快。作为一名美术生，白颜料是用着最[加粗:烧钱]的。
因此美术生用“我的白颜料你随便用”代表动人的情话。
实际上：[划掉:宝贝儿化妆品你随便买，衣服你随便穿，零食你随便吃，但是你要是没拿涮过十遍的笔往我白颜料上蘸，对不起，我们友谊当场作废。]
"
没有说xx不好的意思,"在[链接:微博]上常见的一种防杠精用语。一般用于对事物表达观点时，为了防止被他人曲解、挑刺和抬杠而使用。举例：我觉得A好棒哦，气质很出众！（没有说他旁边的B不好的意思）
括号内内容指”我只是在单纯地夸A，完全没有含沙射影旁边的B“。
由于微博上一些用户戾气较重，惯于以自己固有的思维方式解读世界（学名[链接:杠精]），刻意对他人发言断章取义，抓住文字漏洞不放，令一些发言者不堪其扰，不得不预先给自己的文字内容加上尽量严谨的说明限定，防止引起不必要的争论，因此该句目前也有讽刺网络上的发言环境太差，令大部分人不得不向杠精妥协的意思。"
妈宝,妈妈的好宝贝。那些对妈妈言听计从，不仅要当妈妈的小棉袄，还要当妈妈的[划掉:羽绒服]军大衣的[加粗:成年][划掉:乖]宝宝。
不会阅读空气,不会阅读气氛，来自日本，没眼力见儿，不会按照当时的气氛和对方的脸色做出合适的反应。[斜体:说白了就是不会察言观色，情商不够。]按发音取首字母是KY。日本[划掉:某说话不算话、歪曲历史、道歉后马上捅刀子的]领导人安倍在参议院选举中大败却坚持不辞职时，政治家和媒体等指责[加粗:“首相真KY”]。
圈起来要考,"意思就是，这个是重要桥段，重点细节，可能会对接下来剧情埋下伏笔。一般多用于电视剧、电影弹幕。
例如：金光瑶这个人记住，圈起来要考。（因为后期他被黑化成为反派角色了）"
FFF团,指遇到秀恩爱的就想把他们烧死的一类群体，以单身狗居多。fff团全名为“异端审问会·FFF团”，出自动漫《笨蛋·测验·召唤兽》。是一个以“烧死异性恋”为目标的团体。[划掉:主要动机可能来自于没有异性伴侣的人对于有异性伴侣的人的嫉妒]
谢邀，人在美国，刚下飞机,"常见于[链接:知乎]的[划掉:编故事]回答前置句。
可以说是集[划掉,链接:逼乎]知乎装逼话术之大成的文章开头，甚至这句话本身都已经成梗并脱离了原意，常代表“我在装逼，以下内容都是编的，请夸我牛逼”的意思。[划掉:导致真正想谢邀并且刚下飞机的人都不知道该怎么说话了……]
[链接:谢邀]=大家都知道我是该领域知名人士，虽然我很忙，但既然你们诚心诚意地邀请，我就勉为其难地作答
人在美国=我高端的技术水平享誉国内外，经常在科技发展的尖端地带美国活动。
刚下飞机=我日理万机，行程非常忙碌，但还是心系科普事业，抽空也要来传道受业解惑。

……[链接:与世界分享你刚编的故事]。"
太阳的离异,"即[链接,斜体:太阳的后裔]的大结局，因一起出演电视剧《太阳的后裔》的两位主演，宋慧乔、宋仲基，也称双宋cp，情投意合，最后走向婚姻的殿堂！真的是令人神往的甜甜的恋爱啊！观众磕糖从剧中到现实，是真的搞到真的了！然而两人却在今年六月分手了！网友们惊叹什么[划掉:TM]爱情不爱情的！再见！"
牛油果女孩,"指穿搭和随身物品是牛油果绿色系的女性，或者使用自拍软件中的牛油果贴纸滤镜拍摄照片的女性。
牛油果绿指饱和度较低的黄绿色系，有时也指较深的，类似松针色的绿色（即牛油果从果肉到外皮的颜色）。它作为19年夏天的流行色，在时尚界有相当热度，在国内的流行则很可能源于韩国明星[链接:泫雅]的牛油果色穿搭。
紧追潮流的女性因此纷纷拍摄自己穿着牛油果色系服饰，或者拿着牛油果色物品（包括食物、饮品等）的照片，并以“今天是牛油果女孩”之类的文案发布。在自拍软件推出牛油果图案的贴纸滤镜后，为相片加上此类贴纸并发布的女性也会自称牛油果女孩。"
GGMM,帅哥美眉的缩写，漂亮小姐姐就是plmm，现在回首一看，当年的GGMM应是一身杀马特造型。有趣的是，GG现在还有很多人用，不过人家的意思是“good game”。
中二病,不明真相的人，以嫉妒的心态，对永葆童真，坚持自己中学二年级时代梦想这种精神状态的蔑称。
ATM奴,"指能通过“让主人随意挥霍自己的金钱”来获取幸福感的人群，是[链接:恋物癖]的一种。该爱好的英文名称为Findom，即financial domination，译为金钱控制。
其概念类似[链接:SM]爱好者中的[链接:M]，但他们并不喜好身体或者精神上的控制和奴役，而是通过让主人随意挥霍自己所奉献的金钱获取快感。主人则将他们的奉献视作理所当然，不仅不表示感谢，而且将其看成卑下而不需在意的人。主奴之间通常不会发生性关系。
ATM奴们很多是收入极高的成功人士，他们从奉献金钱中获取的不只是心灵满足，通常还有性高潮。
[划掉:请问还缺主人吗，特别严格那种]"
伐木累,Family，即：家庭，家人。源于综艺节目[链接:奔跑吧兄弟]2014-11-28期中，作为队长的[链接:邓超]为了动员大家而说出的“We are 伐木累！”
太妹,不良少女。源于台湾对辍学或不务正业的未成年女子的称呼。随着[链接:古惑仔]类型的文艺作品盛行，也被用来指代违法犯罪组织中的女性低级成员。（女性[链接:马仔]）。可引申为描述所有刁蛮，张扬，叛逆的女性风格（[加粗:太妹气质]）。
rua,"用作象声词时，一般指代游戏、动画、电影等作品中怪物的吼叫声。
常用于欧美系作品。现在也变成了一部分人的常用口癖（@[链接:秦川]），本身没有任何意义，随语境变化或加强语气。
可当做打招呼时使用，意思类似于“哈喽”。
用作动词时则指因为喜爱某事物而去动手揉搓、抚摸、揉捏它。如：这只猫好胖，看上去好软，好想rua啊！"
妖艳贱货,低俗，无趣的反面[链接:女配]。来自[链接:谷阿莫]对某些爱情电影的人设吐槽：“男主角一看，天哪，这女的好特别，好单纯好不做作，和外面的妖艳的贱货真的好不一样，我最喜欢这种朴实又没有心机的女孩儿了。”
儒雅随和,"现在在网络上常指[加粗:出口成脏，脾气暴躁，经常问候别人爹妈]。
该含义出自主播[链接:孙笑川]的[链接:抽象圣经]（一段他在直播时飙脏话长达五分钟骂观众的视频）中的发言“本来其实我这个人是一个非常儒雅随和的人，我不喜欢骂脏话”。但事实上他在说这句话之前至少已经使用了不下二十种脏话问候观众，比如著名的自杀式攻击“我是你哥，我跟你都是你妈的儿子，你妈死了”。这些花式辱骂与他“儒雅随和”的自评前后对比十分荒谬，之后常被熟悉相关文化的人用来反讽。
因为该梗流传范围极广，目前使用它的人很可能并不是[链接:狗粉丝]。"
哲学,正确写法是[加粗:哲♂学]。原指标题与内容差异巨大的恶搞视频，后泛指一切跟[加粗:男同性恋][划掉:羞羞]相关的内容。源于日本[链接:弹幕]视频网站[链接:niconico]：经常有人上传封面是[链接:色气]满满的[加粗:美女]，但打开后，内容却是[链接:GV]情节，或根据[链接:GV]情节改编的[链接:鬼畜]视频。因为这些视频通常会引发观看者如：“我是谁”，“我在看什么”，“我为什么要看这个啊”等[加粗:哲学]思考而得名。
丢大包,"指大便。
可能火于B站UP主[链接:徐大虾]的口癖，该词是他视频中的常用词。
[划掉:和网络通讯中的术语“][划掉,链接:丢包][划掉:”（数据包未能从网络传输到目的地）的意思完全不同……]"
藏獒也不行,"意为“你就算是[链接:藏獒]也不能插队”，也常被称作“藏獒也不行，[链接:哈士奇]也不行”。
该含义来自一个网络段子，在多人排队的情况下，突然来了一位颐指气使的插队者，表示自己有特权，是贵宾，所以不用排队。此时排队者中便会有人怼：是藏獒也不行，哈士奇也不行。

……贵宾是一类观赏犬的名字，著名的[链接:泰迪]也是贵宾犬的一种。"
虎火发动,"起初指粉丝为偶像的现场演出应援时，进行的一种[链接:CALL艺]—[链接:三连MIX]的简称。因三连MIX的开头分别以英语、日语和阿伊努语喊出“虎、火”这两个词而得名。
之后在一次[链接:中樱桃]公演中，有位粉丝在应援时并未使用传统的[划掉:虎火发动]英、日、阿伊努语MIX词，而是用中文喊出了“虎火发动”四个字，此事被粉丝引为笑谈。之后众多知情者以[链接:玩梗]心态模仿，反而使其成为风潮。
作为MIX词，虎火发动本来并无实际含义，只是一种固定的，配合偶像音乐节奏而喊出的号子。在脱离演唱会的场合使用时，一般只是使用者随意为之，类似“跟上我的节奏”的含义。"
实红明证,"证明某人或某事、某物确实真红了的，明摆着的证据。也可以说[加粗:“实红证明”]。
比如今年7月份，男艺人[链接:李现]主演的电视剧[链接:《亲爱的，热爱的》]浙江卫视与东方卫视播出。播出之后，有网友在各大网站制作其相关视频，其粉丝就会在视频下评论[加粗:“实红明证”]，意思是，这些广为传播的视频就是证明李现确实红了的明摆着的证据。
"
口耐,“可爱”的[链接:台湾腔]发音。
憨得疼,"又叫[链接:憨der屯、憨得屯]，指英国男演员托马斯·威廉·希德勒斯顿（Thomas William Hiddleston），中国网友一般称他为[加粗:“抖森”]，代表作有雷神、复仇者联盟、猩红山峰等。
央视解说[链接:童可欣]在解说2019年温网男单决赛：德约科维奇对战费德勒时，镜头转到观众席，出现了抖森，童可欣不熟悉这个明星，介绍说：[斜体:“这是一位，非常著名的，额，舞台剧演员，嗯，Hiddleston。”]因为央视解说童可欣明明不认识这位明星还硬要介绍，对名字发音不准确且较土，所以被网友[链接:空耳]，翻译成“憨得疼”，也表示对童可欣的嘲讽。"
58警告,"该词是一个关于[链接:NBA]选手[链接:保罗]的黑梗。来源于2009年季后赛首轮第四场比赛中，保罗率领的黄蜂队以63-121的巨大分差输给了对手掘金队，58分的分差也追平了历史记录。由于保罗在比赛中表现不佳，这个耻辱的分差数字成为对他本人的黑称。
该梗本来因时间推移已不常出现，但今年保罗在火箭队拿到了4000万的年薪，表现却差强人意，被球迷讽为“配不上这个价钱”，该梗因此被NBA爱好者们旧事重提，火箭队的粉丝基数较大，发声者众，因此一时间保罗的黑梗遍布NBA讨论圈。
[链接:炮拳警告]也是相似类型的黑梗。"
迷惑行为,"原本出自日语，指那些会给人带来麻烦的行为（比如地铁上横躺着睡觉/图书馆里大声喧哗）。在一些中文网络社区，也有人把迷惑行为理解为指那些很迷（让人琢磨不透，很奇葩）的事。

因此，作为网络用语，迷惑行为既包含中文也包含日语的意思。根据所描述的事情不同，所表达的意思也不同。"
道路千万条，安全第一条。行车不规范，亲人两行泪。,"电影《[链接:流浪地球]》中由[链接:北京第三交通委]发出的，提醒运载车驾驶员注意行车安全的提示语。在运载车插卡启动时自动播放，由一个典型的播音腔女声朗读。全文为“北京第三交通委提醒您，道路千万条，安全第一条。行车不规范，亲人两行泪。”
这句话在电影中重复多次，几乎每一个驾驶员插卡启动车辆的镜头中都会播放。即使地球即将毁灭解体，北京第三交通委仍然孜孜不倦地提醒驾驶员注意行车安全……由于内容朗朗上口（根本就是一首[链接:五言绝句]），语音语调贴近生活但又有一丝微妙的[链接:魔性]，在剧中几个关键的时间点都有出现，令几乎所有观众都被这句安全守则洗脑。"
